location,Medellín,Medellín,Medellín,Medellín
lat,6.25154,6.25154,6.25154,6.25154
lon,-75.54994,-75.54994,-75.54994,-75.54994
asl,2043.341,2043.341,2043.341,2043.341
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Medellín Temperature [2 m elevation corrected],Medellín Relative Humidity [2 m],Medellín Wind Speed [10 m],Medellín Wind Direction [10 m]
20210108T0000,16.859215,97.0,6.638072,49.398697
20210108T0100,16.519215,97.0,5.8603754,42.510437
20210108T0200,16.209213,97.0,5.495161,31.607498
20210108T0300,16.029213,97.0,5.8048253,29.744873
20210108T0400,15.849214,97.0,5.692099,34.69516
20210108T0500,15.7192135,97.0,5.3999996,36.86989
20210108T0600,15.609214,97.0,5.1165614,39.2894
20210108T0700,17.179214,96.0,4.8433046,48.01277
20210108T0800,18.269215,92.0,5.1919937,56.30993
20210108T0900,20.109215,86.0,5.95906,64.98311
20210108T1000,20.619213,81.0,7.0911775,66.037506
20210108T1100,21.259214,77.0,6.489992,56.30993
20210108T1200,21.649214,74.0,5.4833565,66.8014
20210108T1300,21.589214,76.0,5.95906,64.98311
20210108T1400,21.599215,78.0,6.439876,63.43495
20210108T1500,21.359213,79.0,6.297428,59.036255
20210108T1600,20.979214,81.0,5.8603754,42.510437
20210108T1700,20.469213,83.0,5.3999996,36.86989
20210108T1800,19.769215,85.0,5.1165614,50.7106
20210108T1900,19.179214,88.0,6.439876,63.43495
20210108T2000,18.549213,91.0,5.495161,58.392494
20210108T2100,18.109215,95.0,3.671294,78.69006
20210108T2200,17.679214,97.0,5.1544156,77.905235
20210108T2300,17.549213,97.0,4.452954,75.96376
20210109T0000,17.409214,97.0,3.4152596,71.56504
20210109T0100,17.269215,97.0,3.0547013,44.999985
20210109T0200,17.089214,97.0,2.4149535,26.565033
20210109T0300,16.989214,97.0,1.609969,26.565033
20210109T0400,16.789215,97.0,1.484318,14.03624
20210109T0500,16.609215,97.0,1.08,360.0
20210109T0600,16.319214,97.0,1.8,36.86989
20210109T0700,16.299213,97.0,2.8116899,50.194427
20210109T0800,18.239214,90.0,5.0911684,81.869896
20210109T0900,20.419214,82.0,7.342588,78.69006
20210109T1000,21.239214,78.0,6.9899354,78.11134
20210109T1100,21.639214,77.0,5.154415,65.224846
20210109T1200,21.789213,77.0,2.5455842,44.999985
20210109T1300,21.869213,77.0,2.8116899,50.194427
20210109T1400,21.859213,75.0,3.319036,40.601288
20210109T1500,21.709213,74.0,3.8939953,56.30993
20210109T1600,21.449213,75.0,5.3517847,47.726303
20210109T1700,20.879213,78.0,6.1305785,40.236343
20210109T1800,20.249214,80.0,6.3690495,47.29059
20210109T1900,19.429214,86.0,6.3690495,42.70938
20210109T2000,18.669214,94.0,7.5170207,73.30075
20210109T2100,18.259212,97.0,8.557102,67.75098
